법정동코드,법정동명,폐지여부
1111000000,서울특별시 종로구,존재
1114000000,서울특별시 중구,존재
1117000000,서울특별시 용산구,존재
1120000000,서울특별시 성동구,존재
1121500000,서울특별시 광진구,존재
1123000000,서울특별시 동대문구,존재
1126000000,서울특별시 중랑구,존재
1129000000,서울특별시 성북구,존재
1130500000,서울특별시 강북구,존재
1132000000,서울특별시 도봉구,존재
1135000000,서울특별시 노원구,존재
1138000000,서울특별시 은평구,존재
1141000000,서울특별시 서대문구,존재
1144000000,서울특별시 마포구,존재
1147000000,서울특별시 양천구,존재
1150000000,서울특별시 강서구,존재
1153000000,서울특별시 구로구,존재
1154500000,서울특별시 금천구,존재
1156000000,서울특별시 영등포구,존재
1159000000,서울특별시 동작구,존재
1162000000,서울특별시 관악구,존재
1165000000,서울특별시 서초구,존재
1168000000,서울특별시 강남구,존재
1171000000,서울특별시 송파구,존재
1174000000,서울특별시 강동구,존재
2611000000,부산광역시 중구,존재
2614000000,부산광역시 서구,존재
2617000000,부산광역시 동구,존재
2620000000,부산광역시 영도구,존재
2623000000,부산광역시 부산진구,존재
2626000000,부산광역시 동래구,존재
2629000000,부산광역시 남구,존재
2632000000,부산광역시 북구,존재
2635000000,부산광역시 해운대구,존재
2638000000,부산광역시 사하구,존재
2641000000,부산광역시 금정구,존재
2644000000,부산광역시 강서구,존재
2647000000,부산광역시 연제구,존재
2650000000,부산광역시 수영구,존재
2653000000,부산광역시 사상구,존재
2671000000,부산광역시 기장군,존재
2711000000,대구광역시 중구,존재
2714000000,대구광역시 동구,존재
2717000000,대구광역시 서구,존재
2720000000,대구광역시 남구,존재
2723000000,대구광역시 북구,존재
2726000000,대구광역시 수성구,존재
2729000000,대구광역시 달서구,존재
2771000000,대구광역시 달성군,존재
2772000000,대구광역시 군위군,존재
2811000000,인천광역시 중구,존재
2814000000,인천광역시 동구,존재
2817700000,인천광역시 미추홀구,존재
2818500000,인천광역시 연수구,존재
2820000000,인천광역시 남동구,존재
2823700000,인천광역시 부평구,존재
2824500000,인천광역시 계양구,존재
2826000000,인천광역시 서구,존재
2871000000,인천광역시 강화군,존재
2872000000,인천광역시 옹진군,존재
2911000000,광주광역시 동구,존재
2914000000,광주광역시 서구,존재
2915500000,광주광역시 남구,존재
2917000000,광주광역시 북구,존재
2920000000,광주광역시 광산구,존재
3011000000,대전광역시 동구,존재
3014000000,대전광역시 중구,존재
3017000000,대전광역시 서구,존재
3020000000,대전광역시 유성구,존재
3023000000,대전광역시 대덕구,존재
3111000000,울산광역시 중구,존재
3114000000,울산광역시 남구,존재
3117000000,울산광역시 동구,존재
3120000000,울산광역시 북구,존재
3171000000,울산광역시 울주군,존재
3611000000,세종특별자치시,존재
4111000000,경기도 수원시,존재
4111100000,경기도 수원시 장안구,존재
4111300000,경기도 수원시 권선구,존재
4111500000,경기도 수원시 팔달구,존재
4111700000,경기도 수원시 영통구,존재
4113000000,경기도 성남시,존재
4113100000,경기도 성남시 수정구,존재
4113300000,경기도 성남시 중원구,존재
4113500000,경기도 성남시 분당구,존재
4115000000,경기도 의정부시,존재
4117000000,경기도 안양시,존재
4117100000,경기도 안양시 만안구,존재
4117300000,경기도 안양시 동안구,존재
4119000000,경기도 부천시,존재
4119200000,경기도 부천시 원미구 ,존재
4119400000,경기도 부천시 소사구 ,존재
4119600000,경기도 부천시 오정구 ,존재
4121000000,경기도 광명시,존재
4122000000,경기도 평택시,존재
4125000000,경기도 동두천시,존재
4127000000,경기도 안산시,존재
4127100000,경기도 안산시 상록구,존재
4127300000,경기도 안산시 단원구,존재
4128000000,경기도 고양시,존재
4128100000,경기도 고양시 덕양구,존재
4128500000,경기도 고양시 일산동구,존재
4128700000,경기도 고양시 일산서구,존재
4129000000,경기도 과천시,존재
4131000000,경기도 구리시,존재
4136000000,경기도 남양주시,존재
4137000000,경기도 오산시,존재
4139000000,경기도 시흥시,존재
4141000000,경기도 군포시,존재
4143000000,경기도 의왕시,존재
4145000000,경기도 하남시,존재
4146000000,경기도 용인시,존재
4146100000,경기도 용인시 처인구,존재
4146300000,경기도 용인시 기흥구,존재
4146500000,경기도 용인시 수지구,존재
4148000000,경기도 파주시,존재
4150000000,경기도 이천시,존재
4155000000,경기도 안성시,존재
4157000000,경기도 김포시,존재
4159000000,경기도 화성시,존재
4161000000,경기도 광주시,존재
4163000000,경기도 양주시,존재
4165000000,경기도 포천시,존재
4167000000,경기도 여주시,존재
4180000000,경기도 연천군,존재
4182000000,경기도 가평군,존재
4183000000,경기도 양평군,존재
4311000000,충청북도 청주시,존재
4311100000,충청북도 청주시 상당구,존재
4311200000,충청북도 청주시 서원구,존재
4311300000,충청북도 청주시 흥덕구,존재
4311400000,충청북도 청주시 청원구,존재
4313000000,충청북도 충주시,존재
4315000000,충청북도 제천시,존재
4372000000,충청북도 보은군,존재
4373000000,충청북도 옥천군,존재
4374000000,충청북도 영동군,존재
4374500000,충청북도 증평군,존재
4375000000,충청북도 진천군,존재
4376000000,충청북도 괴산군,존재
4377000000,충청북도 음성군,존재
4380000000,충청북도 단양군,존재
4413000000,충청남도 천안시,존재
4413100000,충청남도 천안시 동남구,존재
4413300000,충청남도 천안시 서북구,존재
4415000000,충청남도 공주시,존재
4418000000,충청남도 보령시,존재
4420000000,충청남도 아산시,존재
4421000000,충청남도 서산시,존재
4423000000,충청남도 논산시,존재
4425000000,충청남도 계룡시,존재
4427000000,충청남도 당진시,존재
4471000000,충청남도 금산군,존재
4476000000,충청남도 부여군,존재
4477000000,충청남도 서천군,존재
4479000000,충청남도 청양군,존재
4480000000,충청남도 홍성군,존재
4481000000,충청남도 예산군,존재
4482500000,충청남도 태안군,존재
4611000000,전라남도 목포시,존재
4613000000,전라남도 여수시,존재
4615000000,전라남도 순천시,존재
4617000000,전라남도 나주시,존재
4623000000,전라남도 광양시,존재
4671000000,전라남도 담양군,존재
4672000000,전라남도 곡성군,존재
4673000000,전라남도 구례군,존재
4677000000,전라남도 고흥군,존재
4678000000,전라남도 보성군,존재
4679000000,전라남도 화순군,존재
4680000000,전라남도 장흥군,존재
4681000000,전라남도 강진군,존재
4682000000,전라남도 해남군,존재
4683000000,전라남도 영암군,존재
4684000000,전라남도 무안군,존재
4686000000,전라남도 함평군,존재
4687000000,전라남도 영광군,존재
4688000000,전라남도 장성군,존재
4689000000,전라남도 완도군,존재
4690000000,전라남도 진도군,존재
4691000000,전라남도 신안군,존재
4711000000,경상북도 포항시,존재
4711100000,경상북도 포항시 남구,존재
4711300000,경상북도 포항시 북구,존재
4713000000,경상북도 경주시,존재
4715000000,경상북도 김천시,존재
4717000000,경상북도 안동시,존재
4719000000,경상북도 구미시,존재
4721000000,경상북도 영주시,존재
4723000000,경상북도 영천시,존재
4725000000,경상북도 상주시,존재
4728000000,경상북도 문경시,존재
4729000000,경상북도 경산시,존재
4773000000,경상북도 의성군,존재
4775000000,경상북도 청송군,존재
4776000000,경상북도 영양군,존재
4777000000,경상북도 영덕군,존재
4782000000,경상북도 청도군,존재
4783000000,경상북도 고령군,존재
4784000000,경상북도 성주군,존재
4785000000,경상북도 칠곡군,존재
4790000000,경상북도 예천군,존재
4792000000,경상북도 봉화군,존재
4793000000,경상북도 울진군,존재
4794000000,경상북도 울릉군,존재
4812000000,경상남도 창원시,존재
4812100000,경상남도 창원시 의창구,존재
4812300000,경상남도 창원시 성산구,존재
4812500000,경상남도 창원시 마산합포구,존재
4812700000,경상남도 창원시 마산회원구,존재
4812900000,경상남도 창원시 진해구,존재
4817000000,경상남도 진주시,존재
4822000000,경상남도 통영시,존재
4824000000,경상남도 사천시,존재
4825000000,경상남도 김해시,존재
4827000000,경상남도 밀양시,존재
4831000000,경상남도 거제시,존재
4833000000,경상남도 양산시,존재
4872000000,경상남도 의령군,존재
4873000000,경상남도 함안군,존재
4874000000,경상남도 창녕군,존재
4882000000,경상남도 고성군,존재
4884000000,경상남도 남해군,존재
4885000000,경상남도 하동군,존재
4886000000,경상남도 산청군,존재
4887000000,경상남도 함양군,존재
4888000000,경상남도 거창군,존재
4889000000,경상남도 합천군,존재
5011000000,제주특별자치도 제주시,존재
5013000000,제주특별자치도 서귀포시,존재
5111000000,강원특별자치도 춘천시,존재
5113000000,강원특별자치도 원주시,존재
5115000000,강원특별자치도 강릉시,존재
5117000000,강원특별자치도 동해시,존재
5119000000,강원특별자치도 태백시,존재
5121000000,강원특별자치도 속초시,존재
5123000000,강원특별자치도 삼척시,존재
5172000000,강원특별자치도 홍천군,존재
5173000000,강원특별자치도 횡성군,존재
5175000000,강원특별자치도 영월군,존재
5176000000,강원특별자치도 평창군,존재
5177000000,강원특별자치도 정선군,존재
5178000000,강원특별자치도 철원군,존재
5179000000,강원특별자치도 화천군,존재
5180000000,강원특별자치도 양구군,존재
5181000000,강원특별자치도 인제군,존재
5182000000,강원특별자치도 고성군,존재
5183000000,강원특별자치도 양양군,존재
5211000000,전북특별자치도 전주시,존재
5211100000,전북특별자치도 전주시 완산구,존재
5211300000,전북특별자치도 전주시 덕진구,존재
5213000000,전북특별자치도 군산시,존재
5214000000,전북특별자치도 익산시,존재
5218000000,전북특별자치도 정읍시,존재
5219000000,전북특별자치도 남원시,존재
5221000000,전북특별자치도 김제시,존재
5271000000,전북특별자치도 완주군,존재
5272000000,전북특별자치도 진안군,존재
5273000000,전북특별자치도 무주군,존재
5274000000,전북특별자치도 장수군,존재
5275000000,전북특별자치도 임실군,존재
5277000000,전북특별자치도 순창군,존재
5279000000,전북특별자치도 고창군,존재
5280000000,전북특별자치도 부안군,존재
